Plant_Code,Site,Bee_Count,Treatment_Code,Mold,Insecticide,Sugar,Paint,julDate,julWeek,Month,Day,Time,min_day,hour_day,Temp_F,Wind_mph,Conditions,Barometric,Humidity
B02,B,1,51,1,0,0,0,94,14,Apr,3,12:07:00 PM,727,12,71,2,Full Sun,29,27
B03,B,0,51,1,0,0,0,94,14,Apr,3,11:29:00 AM,689,11,70,0,Full Sun,29,36
B03,B,0,51,1,0,0,0,94,14,Apr,3,2:11:00 PM,851,14,74,3,Full Sun,29,30
B04,B,0,52,1,1,0,0,94,14,Apr,3,1:35:00 PM,815,13,80,1,Full Sun,29,27
B04,B,0,52,1,1,0,0,94,14,Apr,3,10:59:00 AM,659,10,70,0,Full Sun,29,36
B05,B,0,52,1,1,0,0,94,14,Apr,3,12:00:00 PM,720,12,71,2,Full Sun,29,27
B05,B,1,52,1,1,0,0,94,14,Apr,3,2:30:00 PM,870,14,74,3,Full Sun,29,30
B06,B,0,52,1,1,0,0,94,14,Apr,3,11:05:00 AM,665,11,70,0,Full Sun,29,36
B06,B,0,52,1,1,0,0,94,14,Apr,3,2:05:00 PM,845,14,80,1,Full Sun,29,27
B07,B,1,53,0,0,0,0,94,14,Apr,3,11:31:00 AM,691,11,66,1,Full Sun,29,32
B07,B,0,53,0,0,0,0,94,14,Apr,3,3:13:00 PM,913,15,79,1,Partly Cloudy (>50% sun),29,30
B08,B,1,53,0,0,0,0,94,14,Apr,3,1:38:00 PM,818,13,80,1,Full Sun,29,27
B08,B,0,53,0,0,0,0,94,14,Apr,3,11:46:00 AM,706,11,66,1,Full Sun,29,32
B09,B,0,53,0,0,0,0,94,14,Apr,3,1:32:00 PM,812,13,80,1,Full Sun,29,27
B09,B,0,53,0,0,0,0,94,14,Apr,3,12:24:00 PM,744,12,71,2,Full Sun,29,27
B10,B,0,54,0,1,0,0,94,14,Apr,3,1:45:00 PM,825,13,80,1,Full Sun,29,27
B10,B,0,54,0,1,0,0,94,14,Apr,3,11:53:00 AM,713,11,66,1,Full Sun,29,32
B11,B,0,54,0,1,0,0,94,14,Apr,3,11:51:00 AM,711,11,66,1,Full Sun,29,32
B11,B,0,54,0,1,0,0,94,14,Apr,3,2:44:00 PM,884,14,80,1,Partly Cloudy (>50% sun),29,27
B12,B,0,54,0,1,0,0,94,14,Apr,3,11:06:00 AM,666,11,70,0,Full Sun,29,36
B12,B,0,54,0,1,0,0,94,14,Apr,3,2:50:00 PM,890,14,80,1,Partly Cloudy (>50% sun),29,27
B13,B,0,55,0,0,0,1,94,14,Apr,3,10:57:00 AM,657,10,70,0,Full Sun,29,36
B13,B,1,55,0,0,0,1,94,14,Apr,3,2:57:00 PM,897,14,80,1,Partly Cloudy (>50% sun),29,27
B14,B,0,55,0,0,0,1,94,14,Apr,3,11:41:00 AM,701,11,66,1,Full Sun,29,32
B14,B,2,55,0,0,0,1,94,14,Apr,3,2:52:00 PM,892,14,80,1,Partly Cloudy (>50% sun),29,27
B15,B,0,55,0,0,0,1,94,14,Apr,3,12:00:00 PM,720,12,71,2,Full Sun,29,27
B15,B,0,55,0,0,0,1,94,14,Apr,3,2:23:00 PM,863,14,74,3,Full Sun,29,30
B16,B,2,56,0,0,1,0,94,14,Apr,3,12:14:00 PM,734,12,71,2,Full Sun,29,27
B16,B,2,56,0,0,1,0,94,14,Apr,3,2:39:00 PM,879,14,74,3,Full Sun,29,30
B17,B,0,56,0,0,1,0,94,14,Apr,3,11:13:00 AM,673,11,70,0,Full Sun,29,36
B17,B,3,56,0,0,1,0,94,14,Apr,3,2:13:00 PM,853,14,74,3,Full Sun,29,30
B18,B,0,56,0,0,1,0,94,14,Apr,3,11:38:00 AM,698,11,66,1,Full Sun,29,32
B18,B,2,56,0,0,1,0,94,14,Apr,3,2:17:00 PM,857,14,74,3,Full Sun,29,30
B19,B,0,57,0,0,1,1,94,14,Apr,3,11:11:00 AM,671,11,70,0,Full Sun,29,36
B19,B,1,57,0,0,1,1,94,14,Apr,3,2:33:00 PM,873,14,74,3,Full Sun,29,30
B20,B,2,57,0,0,1,1,94,14,Apr,3,1:48:00 PM,828,13,80,1,Full Sun,29,27
B20,B,0,57,0,0,1,1,94,14,Apr,3,11:21:00 AM,681,11,70,0,Full Sun,29,36
B21,B,1,57,0,0,1,1,94,14,Apr,3,1:51:00 PM,831,13,80,1,Full Sun,29,27
B21,B,0,57,0,0,1,1,94,14,Apr,3,11:19:00 AM,679,11,70,0,Full Sun,29,36
A01,A,0,51,1,0,0,0,109,16,Apr,18,11:59:00 AM,719,11,77,0,Full Sun,28,32
A01,A,0,51,1,0,0,0,109,16,Apr,18,2:57:00 PM,897,14,73,1,Full Sun,28,38
A01,A,0,51,1,0,0,0,109,16,Apr,18,3:15:00 PM,915,15,73,1,Full Sun,28,38
A02,A,0,51,1,0,0,0,109,16,Apr,18,10:50:00 AM,650,10,73,0,Full Sun,28,29
A02,A,0,51,1,0,0,0,109,16,Apr,18,11:05:00 AM,665,11,73,0,Full Sun,28,29
A02,A,0,51,1,0,0,0,109,16,Apr,18,3:22:00 PM,922,15,74,1,Partly Cloudy (>50% sun),28,37
A03,A,0,51,1,0,0,0,109,16,Apr,18,11:35:00 AM,695,11,68,2,Full Sun,28,35
